"","date","pollster","snp"
"1",2025-12-03,"Ipsos[341]",0.33
"2",2025-09-25,"Norstat[342]",0.31
"3",2025-09-21,"Find Out Now[343]",0.3
"4",2025-09-16,"Survation[344]",0.35
"5",2025-09-01,"More in Common[345]",0.31
"6",2025-06-19,"YouGov[346][failed verification]",0.29
"7",2025-06-18,"Ipsos[347]",0.31
"8",2025-05-30,"Norstat[348]",0.31
"9",2025-05-05,"Survation[349]",0.32
"10",2025-04-22,"Survation[350]",0.33
"11",2025-03-03,"YouGov[351][failed verification]",0.32
"12",2025-01-20,"Find Out Now[352]",0.31
"13",2025-01-14,"Norstat[353]",0.32
"14",2025-01-13,"Survation[354]",0.33
"15",2024-12-24,"Find Out Now[355]",0.34
"16",2024-12-06,"Norstat[357]",0.31
"17",2024-11-15,"Survation[358]",0.31
"18",2024-11-01,"Norstat[359]",0.3
"19",2024-09-13,"Survation[360]",0.31
"20",2024-09-11,"Opinium[361]",0.32
"21",2024-08-22,"Norstat[363]",0.29
"22",2024-07-02,"Savanta",0.34
"23",2024-06-28,"More in Common",0.3
"24",2024-06-27,"Redfield & Wilton",0.32
"25",2024-06-26,"Norstat",0.31
"26",2024-06-25,"YouGov",0.29
"27",2024-06-25,"Survation",0.31
"28",2024-06-25,"Savanta",0.34
"29",2024-06-18,"YouGov",0.31
"30",2024-06-18,"Savanta",0.33
"31",2024-06-14,"Norstat",0.3
"32",2024-06-10,"Opinium",0.34
"33",2024-06-09,"Ipsos",0.36
"34",2024-06-07,"YouGov",0.3
"35",2024-06-02,"Redfield & Wilton",0.29
"36",2024-05-28,"Savanta",0.33
"37",2024-05-27,"Survation",0.32
"38",2024-05-25,"More in Common",0.3
"39",2024-05-17,"YouGov",0.29
"40",2024-05-09,"Redfield & Wilton",0.31
"41",2024-05-08,"Savanta",0.33
"42",2024-05-03,"Norstat",0.29
"43",2024-04-29,"YouGov",0.33
"44",2024-04-12,"Norstat",0.32
"45",2024-04-07,"Redfield & Wilton",0.32
"46",2024-04-02,"YouGov",0.31
"47",2024-03-11,"Redfield & Wilton",0.34
"48",2024-02-20,"Survation",0.38
"49",2024-02-04,"Redfield & Wilton",0.33
"50",2024-01-31,"Ipsos",0.39
"51",2024-01-25,"Norstat",0.33
"52",2024-01-25,"Survation",0.36
"53",2024-01-11,"Redfield & Wilton",0.35
"54",2023-11-27,"Redfield & Wilton",0.34
"55",2023-11-26,"Ipsos",0.4
"56",2023-10-30,"Redfield & Wilton",0.32
"57",2023-10-25,"YouGov",0.32
"58",2023-10-11,"Savanta",0.35
"59",2023-10-06,"YouGov",0.33
"60",2023-10-05,"Redfield & Wilton",0.34
"61",2023-09-14,"Opinium",0.37
"62",2023-09-13,"YouGov",0.38
"63",2023-09-04,"Redfield & Wilton",0.35
