"","date","pollster","right"
"1",2025-12-15,"YouGov",0.45
"2",2025-12-12,"Opinium",0.49
"3",2025-12-10,"Find Out Now",0.48
"4",2025-12-08,"YouGov",0.45
"5",2025-12-08,"More in Common",0.51
"6",2025-12-03,"Find Out Now",0.51
"7",2025-12-01,"YouGov",0.45
"8",2025-12-01,"More in Common",0.51
"9",2025-12-01,"JL Partners",0.49
"10",2025-11-30,"Freshwater Strategy",0.51
"11",2025-11-28,"Opinium",0.48
"12",2025-11-28,"Focaldata",0.47
"13",2025-11-27,"BMG Research",0.5
"14",2025-11-26,"Find Out Now",0.49
"15",2025-11-24,"YouGov",0.43
"16",2025-11-24,"More in Common",0.49
"17",2025-11-21,"Opinium",0.49
"18",2025-11-21,"Focaldata",0.48
"19",2025-11-20,"Survation",0.47
"20",2025-11-19,"Find Out Now",0.49
"21",2025-11-17,"YouGov",0.44
"22",2025-11-17,"More in Common",0.5
"23",2025-11-17,"Lord Ashcroft",0.47
"24",2025-11-12,"Find Out Now",0.49
"25",2025-11-10,"YouGov",0.44
"26",2025-11-10,"More in Common",0.5
"27",2025-11-09,"Freshwater Strategy",0.51
"28",2025-11-07,"Opinium",0.5
"29",2025-11-06,"Find Out Now",0.49
"30",2025-11-05,"Ipsos",0.49
"31",2025-11-03,"YouGov",0.43
"32",2025-11-03,"More in Common",0.5
"33",2025-11-02,"JL Partners",0.48
"34",2025-10-29,"Find Out Now",0.48
"35",2025-10-27,"YouGov",0.44
"36",2025-10-27,"More in Common",0.51
"37",2025-10-24,"Opinium",0.48
"38",2025-10-23,"Techne",0.47
"39",2025-10-22,"Find Out Now",0.49
"40",2025-10-20,"YouGov",0.43
"41",2025-10-20,"More in Common",0.5
"42",2025-10-20,"Lord Ashcroft",0.47
"43",2025-10-17,"Focaldata",0.49
"44",2025-10-15,"Find Out Now",0.49
"45",2025-10-13,"YouGov",0.44
"46",2025-10-13,"More in Common",0.5
"47",2025-10-08,"Opinium",0.5
"48",2025-10-08,"Find Out Now",0.49
"49",2025-10-05,"YouGov",0.44
"50",2025-10-03,"Freshwater",0.53
"51",2025-10-03,"More in Common",0.52
"52",2025-10-01,"Opinium",0.5
"53",2025-10-01,"Find Out Now",0.49
"54",2025-09-28,"YouGov",0.45
"55",2025-09-26,"JL Partners",0.5
"56",2025-09-26,"More in Common",0.5
"57",2025-09-24,"Survation",0.51
"58",2025-09-24,"Opinium",0.49
"59",2025-09-24,"Find Out Now",0.47
"60",2025-09-19,"Focaldata",0.49
"61",2025-09-19,"More in Common",0.48
"62",2025-09-17,"Find Out Now",0.5
"63",2025-09-17,"Techne",0.49
"64",2025-09-17,"Opinium",0.48
"65",2025-09-14,"YouGov",0.46
"66",2025-09-14,"YouGov",0.45
"67",2025-09-12,"More in Common",0.49
"68",2025-09-11,"Ipsos",0.48
"69",2025-09-11,"Lord Ashcroft",0.47
"70",2025-09-10,"Find Out Now",0.49
"71",2025-09-07,"YouGov",0.44
"72",2025-09-05,"More in Common",0.5
"73",2025-09-03,"Find Out Now",0.49
"74",2025-09-03,"Opinium",0.48
"75",2025-09-01,"Find Out Now",0.5
"76",2025-09-01,"Techne",0.49
"77",2025-08-31,"YouGov",0.46
"78",2025-08-31,"YouGov",0.44
"79",2025-08-29,"Freshwater",0.5
"80",2025-08-29,"More in Common",0.49
"81",2025-08-28,"Survation",0.49
"82",2025-08-27,"Find Out Now",0.49
"83",2025-08-26,"BMG",0.52
"84",2025-08-25,"YouGov",0.45
"85",2025-08-22,"More in Common",0.48
"86",2025-08-20,"Find Out Now",0.5
"87",2025-08-20,"Opinium",0.46
"88",2025-08-19,"JL Partners",0.5
"89",2025-08-17,"YouGov",0.46
"90",2025-08-15,"More in Common",0.5
"91",2025-08-15,"Focaldata",0.47
"92",2025-08-14,"Lord Ashcroft",0.47
"93",2025-08-13,"Find Out Now",0.5
"94",2025-08-10,"YouGov",0.45
"95",2025-08-08,"More in Common",0.52
"96",2025-08-08,"More in Common",0.5
