"","date","pollster","right"
"1",2025-10-08,"Opinium",0.5
"2",2025-10-08,"Find Out Now",0.49
"3",2025-10-05,"YouGov",0.44
"4",2025-10-03,"Freshwater",0.53
"5",2025-10-03,"More in Common",0.52
"6",2025-10-01,"Opinium",0.5
"7",2025-10-01,"Find Out Now",0.49
"8",2025-09-28,"YouGov",0.45
"9",2025-09-26,"JL Partners",0.5
"10",2025-09-26,"More in Common",0.5
"11",2025-09-24,"Survation",0.51
"12",2025-09-24,"Opinium",0.49
"13",2025-09-24,"Find Out Now",0.47
"14",2025-09-19,"Focaldata",0.49
"15",2025-09-19,"More in Common",0.48
"16",2025-09-17,"Find Out Now",0.5
"17",2025-09-17,"Techne",0.49
"18",2025-09-17,"Opinium",0.48
"19",2025-09-14,"YouGov",0.46
"20",2025-09-14,"YouGov",0.45
"21",2025-09-12,"More in Common",0.49
"22",2025-09-11,"Ipsos",0.48
"23",2025-09-11,"Lord Ashcroft",0.47
"24",2025-09-10,"Find Out Now",0.49
"25",2025-09-07,"YouGov",0.44
"26",2025-09-05,"More in Common",0.5
"27",2025-09-03,"Find Out Now",0.49
"28",2025-09-03,"Opinium",0.48
"29",2025-09-01,"Find Out Now",0.5
"30",2025-09-01,"Techne",0.49
"31",2025-08-31,"YouGov",0.46
"32",2025-08-31,"YouGov",0.44
"33",2025-08-29,"Freshwater",0.5
"34",2025-08-29,"More in Common",0.49
"35",2025-08-28,"Survation",0.49
"36",2025-08-27,"Find Out Now",0.49
"37",2025-08-26,"BMG",0.52
"38",2025-08-25,"YouGov",0.45
"39",2025-08-22,"More in Common",0.48
"40",2025-08-20,"Find Out Now",0.5
"41",2025-08-20,"Opinium",0.46
"42",2025-08-19,"JL Partners",0.5
"43",2025-08-17,"YouGov",0.46
"44",2025-08-15,"More in Common",0.5
"45",2025-08-15,"Focaldata",0.47
"46",2025-08-14,"Lord Ashcroft",0.47
"47",2025-08-13,"Find Out Now",0.5
"48",2025-08-10,"YouGov",0.45
"49",2025-08-08,"More in Common",0.52
"50",2025-08-08,"More in Common",0.5
"51",2025-08-06,"Find Out Now",0.48
"52",2025-08-06,"Opinium",0.48
"53",2025-08-01,"Freshwater",0.51
"54",2025-08-01,"More in Common",0.49
"55",2025-07-30,"Find Out Now",0.47
"56",2025-07-29,"BMG",0.5
"57",2025-07-27,"YouGov",0.46
"58",2025-07-26,"More in Common",0.49
"59",2025-07-23,"Find Out Now",0.5
"60",2025-07-23,"Opinium",0.49
"61",2025-07-20,"YouGov",0.44
"62",2025-07-18,"More in Common",0.5
"63",2025-07-17,"JL Partners",0.46
"64",2025-07-16,"Find Out Now",0.47
"65",2025-07-14,"Focaldata",0.461
"66",2025-07-13,"YouGov",0.45
"67",2025-07-11,"More in Common",0.47
"68",2025-07-09,"Find Out Now",0.5
"69",2025-07-09,"Techne",0.47
"70",2025-07-09,"Opinium",0.47
"71",2025-07-06,"YouGov",0.42
"72",2025-07-04,"Freshwater",0.5
"73",2025-07-04,"More in Common",0.48
"74",2025-07-02,"Find Out Now",0.46
"75",2025-06-30,"More in Common",0.49
"76",2025-06-30,"Survation",0.47
"77",2025-06-29,"YouGov",0.43
"78",2025-06-27,"More in Common",0.48
"79",2025-06-26,"Lord Ashcroft",0.48
"80",2025-06-25,"Find Out Now",0.48
"81",2025-06-25,"Opinium",0.47
"82",2025-06-25,"Techne",0.46
"83",2025-06-25,"Survation",0.46
"84",2025-06-24,"BMG",0.49
